DATE,30 YR FIXED,15 YR FIXED,5/1 ARM
2005-01-06,5.77,5.21,5.03
2005-01-13,5.74,5.19,5.05
2005-01-20,5.67,5.15,5.05
2005-01-27,5.66,5.14,5.02
2005-02-03,5.63,5.14,5
2005-02-10,5.57,5.1,4.99
2005-02-17,5.62,5.14,5.05
2005-02-24,5.69,5.22,5.05
2005-03-03,5.79,5.33,5.17
2005-03-10,5.85,5.38,5.22
2005-03-17,5.95,5.47,5.31
2005-03-24,6.01,5.56,5.35
2005-03-31,6.04,5.58,5.43
2005-04-07,5.93,5.48,5.33
2005-04-14,5.91,5.46,5.31
2005-04-21,5.8,5.36,5.22
2005-04-28,5.78,5.33,5.2
2005-05-05,5.75,5.31,5.16
2005-05-12,5.77,5.33,5.21
2005-05-19,5.71,5.27,5.07
2005-05-26,5.65,5.21,5.07
2005-06-02,5.62,5.2,5.1
2005-06-09,5.56,5.14,5.01
2005-06-16,5.63,5.22,5.1
2005-06-23,5.57,5.16,5.05
2005-06-30,5.53,5.12,5.06
2005-07-07,5.62,5.2,5.19
2005-07-14,5.66,5.25,5.15
2005-07-21,5.73,5.32,5.26
2005-07-28,5.77,5.34,5.27
2005-08-04,5.82,5.38,5.3
2005-08-11,5.89,5.47,5.4
2005-08-18,5.8,5.4,5.34
2005-08-25,5.77,5.35,5.3
2005-09-01,5.71,5.32,5.3
2005-09-08,5.71,5.3,5.24
2005-09-15,5.74,5.32,5.26
2005-09-22,5.8,5.37,5.31
2005-09-29,5.91,5.48,5.44
2005-10-06,5.98,5.54,5.48
2005-10-13,6.03,5.62,5.57
2005-10-20,6.1,5.65,5.59
2005-10-27,6.15,5.69,5.63
2005-11-03,6.31,5.85,5.76
2005-11-10,6.36,5.89,5.81
2005-11-17,6.37,5.9,5.86
2005-11-23,6.28,5.81,5.75
2005-12-01,6.26,5.81,5.76
2005-12-08,6.32,5.87,5.78
2005-12-15,6.3,5.85,5.77
2005-12-22,6.26,5.79,5.82
2005-12-29,6.22,5.76,5.79
2006-01-05,6.21,5.76,5.78
2006-01-12,6.15,5.71,5.76
2006-01-19,6.1,5.67,5.75
2006-01-26,6.12,5.7,5.75
2006-02-02,6.23,5.81,5.87
2006-02-09,6.24,5.83,5.89
2006-02-16,6.28,5.91,5.95
2006-02-23,6.26,5.89,5.96
2006-03-02,6.24,5.89,5.97
2006-03-09,6.37,6,6.03
2006-03-16,6.34,5.98,5.93
2006-03-23,6.32,5.97,5.96
2006-03-30,6.35,6,6.02
2006-04-06,6.43,6.1,6.11
2006-04-13,6.49,6.14,6.13
2006-04-20,6.53,6.17,6.16
2006-04-27,6.58,6.21,6.21
2006-05-04,6.59,6.22,6.21
2006-05-11,6.58,6.17,6.22
2006-05-18,6.6,6.2,6.23
2006-05-25,6.62,6.23,6.21
2006-06-01,6.67,6.26,6.26
2006-06-08,6.62,6.23,6.2
2006-06-15,6.63,6.25,6.23
2006-06-22,6.71,6.36,6.32
2006-06-29,6.78,6.43,6.39
2006-07-06,6.79,6.44,6.39
2006-07-13,6.74,6.37,6.33
2006-07-20,6.8,6.41,6.36
2006-07-27,6.72,6.34,6.35
2006-08-03,6.63,6.27,6.27
2006-08-10,6.55,6.2,6.21
2006-08-17,6.52,6.2,6.18
2006-08-24,6.48,6.18,6.14
2006-08-31,6.44,6.14,6.11
2006-09-07,6.47,6.16,6.14
2006-09-14,6.43,6.11,6.1
2006-09-21,6.4,6.06,6.08
2006-09-28,6.31,5.98,6
2006-10-05,6.3,5.98,6
2006-10-12,6.37,6.06,6.1
2006-10-19,6.36,6.06,6.11
2006-10-26,6.4,6.1,6.14
2006-11-02,6.31,6.02,6.05
2006-11-09,6.33,6.04,6.08
2006-11-16,6.24,5.94,6.04
2006-11-22,6.18,5.91,5.99
2006-11-30,6.14,5.87,5.95
2006-12-07,6.11,5.84,5.92
2006-12-14,6.12,5.86,5.92
2006-12-21,6.13,5.89,5.96
2006-12-28,6.18,5.93,5.98
2007-01-04,6.18,5.94,6.02
2007-01-11,6.21,5.96,6.03
2007-01-18,6.23,5.98,6.04
2007-01-25,6.25,5.98,6
2007-02-01,6.34,6.06,6.04
2007-02-08,6.28,6.02,5.99
2007-02-15,6.3,6.03,6.01
2007-02-22,6.22,5.97,5.96
2007-03-01,6.18,5.92,5.93
2007-03-08,6.14,5.86,5.9
2007-03-15,6.14,5.88,5.9
2007-03-22,6.16,5.9,5.91
2007-03-29,6.16,5.86,5.88
2007-04-05,6.17,5.87,5.92
2007-04-12,6.22,5.9,5.93
2007-04-19,6.17,5.89,5.92
2007-04-26,6.16,5.87,5.88
2007-05-03,6.16,5.87,5.87
2007-05-10,6.15,5.87,5.89
2007-05-17,6.21,5.92,5.92
2007-05-24,6.37,6.06,6.02
2007-05-31,6.42,6.12,6.19
2007-06-07,6.53,6.22,6.24
2007-06-14,6.74,6.43,6.37
2007-06-21,6.69,6.37,6.31
2007-06-28,6.67,6.34,6.3
2007-07-05,6.63,6.3,6.29
2007-07-12,6.73,6.39,6.35
2007-07-19,6.73,6.38,6.35
2007-07-26,6.69,6.37,6.3
2007-08-02,6.68,6.32,6.29
